,forcing function
1021,0.3842642893714001
1022,1.2753847813940813
1023,2.1213223567735993
1024,2.969609864401948
1025,3.8929550414288276
1026,4.852441744612162
1027,5.649862653845865
1028,6.030732912072303
1029,5.8725521452988065
1030,5.3113345738014575
1031,4.692667365637702
1032,4.362069761246984
1033,4.437009255822618
1034,4.729104924463718
1035,4.883153512011576
1036,4.640573687575381
1037,4.0368124151876605
1038,3.382374283015501
1039,3.0316127466521836
1040,3.1017562213548926
1041,3.349430990538371
1042,3.3060188023608372
1043,2.5892604148730314
1044,1.1782219698693324
1045,-0.5425666576702871
1046,-2.0071731320924218
1047,-2.8131479859114306
1048,-2.9576391343091526
1049,-2.81241676290602
1050,-2.865554824249508
1051,-3.412161796536788
1052,-4.399077737993053
1053,-5.5092567827233285
1054,-6.4018049963541985
1055,-6.926018173063898
1056,-7.166636693803392
1057,-7.3149121042535805
1058,-7.488268451276472
1059,-7.645824885308942
1060,-7.6564351791613285
1061,-7.447001934366489
1062,-7.094771574253765
1063,-6.777249083380344
1064,-6.615307440425846
1065,-6.5398656374264
1066,-6.3021412511373756
1067,-5.636919871607387
1068,-4.4629285263534015
1069,-2.9644759766594375
1070,-1.4804924160560857
1071,-0.27286112672405627
1072,0.6553163841082812
1073,1.5486219772483414
1074,2.692221451296449
1075,4.1561531933486755
1076,5.685650643129436
1077,6.835030054051128
1078,7.2668367286806825
1079,7.010365783101994
1080,6.490282085407587
1081,6.290059822136167
1082,6.799388518176501
1083,7.978498975595984
1084,9.394988048179055
1085,10.50415147229267
1086,10.981844983867353
1087,10.891752293720875
1088,10.59157848850324
1089,10.464084613380683
1090,10.669827671428518
1091,11.085181363949586
1092,11.44416846721379
1093,11.556749693340834
1094,11.434844121468759
1095,11.243479327583808
1096,11.135482919812606
1097,11.114151772178465
1098,11.036409557726957
1099,10.749182380807554
1100,10.241356754877083
1101,9.68042187119401
1102,9.296710634769589
1103,9.204043570035049
1104,9.302461385304028
1105,9.348875276835033
1106,9.149006952515235
1107,8.722220253612075
1108,8.302583804300482
1109,8.16142347073576
1110,8.378644213115933
1111,8.741973398301859
1112,8.869007073279857
1113,8.482910266704495
1114,7.648985346874759
1115,6.791694428079342
1116,6.458384838512868
1117,6.975620041261013
1118,8.22747267927201
1119,9.70931904808193
1120,10.825931369485454
1121,11.237952583172268
1122,11.031508494145047
1123,10.610852695564853
1124,10.403389546173607
1125,10.586551817052866
1126,11.015870624824146
1127,11.381301719907153
1128,11.458152863579613
1129,11.264334021758115
1130,11.01980564343407
1131,10.957493730373487
1132,11.141004336604187
1133,11.427475697824768
1134,11.593500807316394
1135,11.514800449242335
1136,11.254042214118325
1137,10.990482587050991
1138,10.854433272098609
1139,10.805761981592207
1140,10.658679352078995
1141,10.234650350681873
1142,9.517601465395996
1143,8.678099536820174
1144,7.935308674399856
1145,7.359443691831379
1146,6.7767451684282
1147,5.871444380737378
1148,4.429812088009422
1149,2.5518249766408605
1150,0.6612669849734167
1151,-0.7199999045004315
1152,-1.2965262070371073
1153,-1.2029643736611055
1154,-0.9388435867092262
1155,-1.0664502437110421
1156,-1.8671107703874155
1157,-3.1814246030377684
1158,-4.533623880895928
1159,-5.447221136246734
1160,-5.734006618794238
1161,-5.567163400397999
1162,-5.3072518031032905
1163,-5.221668842951216
1164,-5.302331577174802
1165,-5.302366397355289
1166,-4.947768315396406
1167,-4.156892216188729
1168,-3.1060997549219325
1169,-2.1030397833466195
1170,-1.3731319519055554
1171,-0.9220794209287974
1172,-0.5694404233088469
1173,-0.11280405527518106
1174,0.514741869013495
1175,1.216530003388311
1176,1.8457119016882717
1177,2.355710559843383
1178,2.8541569797992783
1179,3.508351987630734
1180,4.377531347501239
1181,5.31700438913094
1182,6.051598792300715
1183,6.382750982836421
1184,6.3770685756995595
1185,6.378999475752551
1186,6.809345234431941
1187,7.871855070734417
1188,9.372244473125647
1189,10.790453993169605
1190,11.5761433619053
1191,11.478861916349922
1192,10.693177705703736
1193,9.72134420525587
1194,9.047859749668788
1195,8.846692192698779
1196,8.914138703121896
1197,8.859374557042718
1198,8.406193327913565
1199,7.5894002391834166
1200,6.714020212384166
1201,6.119635422592058
1202,5.928528615986159
1203,5.959007125971311
1204,5.858109341267594
1205,5.3482667886400295
1206,4.4073006862294966
1207,3.2606366653986707
1208,2.208150405932466
1209,1.425402844643208
1210,0.8847078051280668
1211,0.4377775458115031
1212,-0.026321745297110066
1213,-0.48625478777910436
1214,-0.8331881746301049
1215,-1.0090262633303027
1216,-1.108568203298549
1217,-1.3413660707566804
1218,-1.8653674877677937
1219,-2.6196918367099054
1220,-3.302908514712792
1221,-3.543094853141013
1222,-3.1575018122251364
1223,-2.3162509534354103
1224,-1.4761670440533003
1225,-1.1081945995047457
1226,-1.3935962422959167
1227,-2.09749138148801
1228,-2.713195858453591
1229,-2.785071443300141
1230,-2.1927111565818542
1231,-1.2055662423933202
1232,-0.27728760650239725
1233,0.2703293056825917
1234,0.45096567921859243
1235,0.5673437119656666
1236,0.9574221218202892
1237,1.7212830844999065
1238,2.624670264305855
1239,3.2437881233645047
1240,3.243372670818605
1241,2.59071407249207
1242,1.5625873332472187
1243,0.5545274313446463
1244,-0.1617636395704781
1245,-0.5640687336913667
1246,-0.8193911417445989
1247,-1.1100798956103077
1248,-1.4935372606065103
1249,-1.899024864932575
1250,-2.243793418053066
1251,-2.551371564492062
1252,-2.9566818606502365
1253,-3.5829447812904833
1254,-4.391862126071578
1255,-5.144585604126458
1256,-5.532174693052971
1257,-5.397947912670575
1258,-4.887075302504249
1259,-4.394830568138163
1260,-4.325583626299682
1261,-4.81877797969895
1262,-5.636009278781149
